,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,Direction
4753,GO:0042127,1.02E-06,0.999999783,18,139,regulation of cell population proliferation,BP,Up
4990,GO:0043065,2.51E-06,0.99999923,26,276,positive regulation of apoptotic process,BP,Up
1766,GO:0008284,4.36E-06,0.999998522,29,340,positive regulation of cell population proliferation,BP,Up
1443,GO:0006954,2.35E-05,0.999993607,18,171,inflammatory response,BP,Up
1106,GO:0006412,8.58E-05,0.999970408,22,242,translation,BP,Up
4991,GO:0043066,0.000110263,0.999955583,28,382,negative regulation of apoptotic process,BP,Up
10599,GO:2000020,0.000182964,0.999998311,3,4,positive regulation of male gonad development,BP,Up
1708,GO:0007611,0.000196105,0.999970205,8,50,learning or memory,BP,Up
5583,GO:0045931,0.000202239,0.999979966,6,27,positive regulation of mitotic cell cycle,BP,Up
5914,GO:0048146,0.000292728,0.999952594,8,52,positive regulation of fibroblast proliferation,BP,Up
2107,GO:0010628,0.000390623,0.999838133,25,358,positive regulation of gene expression,BP,Up
3759,GO:0032740,0.00041585,0.999979183,4,11,positive regulation of interleukin-17 production,BP,Up
348,GO:0001957,0.000431277,0.99999214,3,5,intramembranous ossification,BP,Up
4949,GO:0042908,0.000449344,0.999976318,4,12,xenobiotic transport,BP,Up
5920,GO:0048168,0.000462024,0.99995992,5,21,regulation of neuronal synaptic plasticity,BP,Up
442,GO:0002181,0.000481523,0.999929323,7,38,cytoplasmic translation,BP,Up
7905,GO:0071479,0.000589589,0.999926948,6,31,cellular response to ionizing radiation,BP,Up
601,GO:0002639,0.000617309,0.999964557,4,12,positive regulation of immunoglobulin production,BP,Up
3907,GO:0033138,0.000644181,0.999864833,9,75,positive regulation of peptidyl-serine phosphorylation,BP,Up
159,GO:0001501,0.000650506,0.999863802,9,71,skeletal system development,BP,Up
8181,GO:0072540,0.000702672,0.999981986,3,6,T-helper 17 cell lineage commitment,BP,Up
5516,GO:0045787,0.000819793,0.999890878,6,33,positive regulation of cell cycle,BP,Up
3733,GO:0032691,0.000918261,0.999939822,4,13,negative regulation of interleukin-1 beta production,BP,Up
2844,GO:0019731,0.001034878,0.999891516,5,22,antibacterial humoral response,BP,Up
4483,GO:0035924,0.001047204,0.99988838,5,24,cellular response to vascular endothelial growth factor stimulus,BP,Up
958,GO:0006148,0.001101369,1,2,2,inosine catabolic process,BP,Up
745,GO:0003156,0.001196953,1,2,2,regulation of animal organ formation,BP,Up
4443,GO:0035802,0.001196953,1,2,2,adrenal cortex formation,BP,Up
1894,GO:0009314,0.001203763,0.999913343,4,14,response to radiation,BP,Up
10963,GO:2000987,0.00122275,0.999957986,3,7,positive regulation of behavioral fear response,BP,Up
6355,GO:0051091,0.001299965,0.999697182,9,80,positive regulation of DNA-binding transcription factor activity,BP,Up
7951,GO:0071621,0.001340343,1,2,2,granulocyte chemotaxis,BP,Up
5457,GO:0045657,0.001446196,0.999947276,3,7,positive regulation of monocyte differentiation,BP,Up
6699,GO:0055062,0.001471277,1,2,2,phosphate ion homeostasis,BP,Up
3311,GO:0030916,0.001479358,1,2,2,otic vesicle formation,BP,Up
3209,GO:0030316,0.001502041,0.999824194,5,26,osteoclast differentiation,BP,Up
1945,GO:0009749,0.001518738,0.99976958,6,36,response to glucose,BP,Up
10754,GO:2000379,0.00154876,0.999818437,5,25,positive regulation of reactive oxygen species metabolic process,BP,Up
9172,GO:1900747,0.001569741,0.999937183,3,8,negative regulation of vascular endothelial growth factor signaling pathway,BP,Up
2327,GO:0014032,0.001684998,0.999862812,4,16,neural crest cell development,BP,Up
3179,GO:0030216,0.001706126,0.999793367,5,27,keratinocyte differentiation,BP,Up
754,GO:0003170,0.001767803,0.999926219,3,8,heart valve development,BP,Up
1653,GO:0007406,0.001815665,0.999923501,3,8,negative regulation of neuroblast proliferation,BP,Up
5416,GO:0045595,0.001878923,0.999768478,5,26,regulation of cell differentiation,BP,Up
8431,GO:0090280,0.002143386,0.999904212,3,8,positive regulation of calcium ion import,BP,Up
1785,GO:0008360,0.002204433,0.999343995,11,123,regulation of cell shape,BP,Up
1367,GO:0006821,0.002434439,0.999587332,6,43,chloride transport,BP,Up
3604,GO:0032355,0.002799222,0.999729224,4,19,response to estradiol,BP,Up
845,GO:0003365,0.003042185,0.999966759,2,3,establishment of cell polarity involved in ameboidal cell migration,BP,Up
3328,GO:0031018,0.003120069,0.999691673,4,18,endocrine pancreas development,BP,Up
1141,GO:0006469,0.0031725,0.999327378,7,58,negative regulation of protein kinase activity,BP,Up
4926,GO:0042771,0.003207583,0.999546323,5,29,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,BP,Up
2351,GO:0014064,0.003414186,0.999960401,2,3,positive regulation of serotonin secretion,BP,Up
4975,GO:0043029,0.003481381,0.999642,4,19,T cell homeostasis,BP,Up
6594,GO:0051726,0.003561799,0.998946952,10,106,regulation of cell cycle,BP,Up
984,GO:0006204,0.003579133,0.99995746,2,3,IMP catabolic process,BP,Up
8226,GO:0072734,0.003621401,0.999956695,2,3,cellular response to staurosporine,BP,Up
6496,GO:0051461,0.003682474,0.999955582,2,3,positive regulation of corticotropin secretion,BP,Up
3715,GO:0032642,0.003725857,0.999954785,2,3,regulation of chemokine production,BP,Up
1683,GO:0007530,0.003765408,0.999954054,2,3,sex determination,BP,Up
10521,GO:1990440,0.003997305,0.999758446,3,10,positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,BP,Up
3222,GO:0030335,0.004018238,0.998490205,14,190,positive regulation of cell migration,BP,Up
4202,GO:0034756,0.00407741,0.999948148,2,3,regulation of iron ion transport,BP,Up
9863,GO:1903800,0.004177508,0.999743514,3,10,positive regulation of production of miRNAs involved in gene silencing by miRNA,BP,Up
6176,GO:0050679,0.004220907,0.999194138,6,47,positive regulation of epithelial cell proliferation,BP,Up
9170,GO:1900745,0.004240104,0.999535356,4,20,positive regulation of p38MAPK cascade,BP,Up
6498,GO:0051464,0.004295674,0.999943871,2,3,positive regulation of cortisol secretion,BP,Up
6633,GO:0051898,0.004687714,0.99926492,5,33,negative regulation of protein kinase B signaling,BP,Up
7476,GO:0070059,0.004727673,0.999257156,5,33,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,BP,Up
6632,GO:0051897,0.004732483,0.9987742,8,80,positive regulation of protein kinase B signaling,BP,Up
4963,GO:0042989,0.004746881,0.999694787,3,10,sequestering of actin monomers,BP,Up
5248,GO:0044342,0.004888394,0.999682327,3,10,type B pancreatic cell proliferation,BP,Up
2604,GO:0016477,0.005188142,0.997989491,14,202,cell migration,BP,Up
7076,GO:0060674,0.005275312,0.999638376,3,11,placenta blood vessel development,BP,Up
1816,GO:0008652,0.005465486,0.99935171,4,21,cellular amino acid biosynthetic process,BP,Up
3880,GO:0033031,0.005683894,0.999879092,2,4,positive regulation of neutrophil apoptotic process,BP,Up
2084,GO:0010573,0.005761032,0.999876588,2,4,vascular endothelial growth factor production,BP,Up
11030,GO:2001234,0.005863383,0.999027347,5,34,negative regulation of apoptotic signaling pathway,BP,Up
6094,GO:0048729,0.006034036,0.999867585,2,4,tissue morphogenesis,BP,Up
699,GO:0003009,0.00604108,0.999564978,3,11,skeletal muscle contraction,BP,Up
3686,GO:0032534,0.006444691,0.999853633,2,4,regulation of microvillus assembly,BP,Up
10385,GO:1905643,0.006486493,0.999852186,2,4,positive regulation of DNA methylation,BP,Up
2286,GO:0010955,0.006609569,0.999497998,3,12,negative regulation of protein processing,BP,Up
7220,GO:0061029,0.006713619,0.999487182,3,12,eyelid development in camera-type eye,BP,Up
8735,GO:0098810,0.00679892,0.999841213,2,4,neurotransmitter reuptake,BP,Up
5441,GO:0045630,0.006904975,0.999837426,2,4,positive regulation of T-helper 2 cell differentiation,BP,Up
960,GO:0006154,0.007017857,0.999833362,2,4,adenosine catabolic process,BP,Up
9375,GO:1902041,0.007150885,0.999828527,2,4,regulation of extrinsic apoptotic signaling pathway via death domain receptors,BP,Up
1553,GO:0007169,0.007156502,0.998213833,7,73,transmembrane receptor protein tyrosine kinase signaling pathway,BP,Up
6782,GO:0060074,0.007188448,0.999427553,3,13,synapse maturation,BP,Up
3148,GO:0030154,0.007255125,0.995999988,30,568,cell differentiation,BP,Up
3578,GO:0032273,0.007302834,0.999822946,2,4,positive regulation of protein polymerization,BP,Up
254,GO:0001775,0.007382144,0.999820009,2,4,cell activation,BP,Up
171,GO:0001525,0.007941666,0.996889603,13,185,angiogenesis,BP,Up
