Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
GSE45365_NK_CELL_VS_CD11B_DC_DN,184,0.633260743,2.059912329,2.50E-11,3.08E-07,2.74E-07,3913,"tags=42%, list=15%, signal=36%",Tubb6/Timp1/Inhbb/Adam8/Phlda1/Smim3/Fosl1/Stom/Fosl2/Serpine1/Cish/Slc15a3/Ier5/Slc7a5/Ptx3/Il6/Cyth4/Tgfb1/Tm4sf1/Clic4/Fst/Rnf122/Nfil3/Nfkbiz/Igf2bp2/Selplg/Krt16/Sh3bp2/Ltb4r2/Rab31/Slc29a2/Spry1/Enc1/Stat5a/Cxcl1/Noct/Ddx39a/Pde4b/Etv6/AA467197/Csf2rb2/Csf3r/Saa1/Il1b/Csrnp1/Uap1/Pgs1/Ch25h/Flna/Gprc5a/Ccdc86/S100a8/Rnf149/Tle3/Cxcl14/Ptges/Cytip/Sntb2/Mpeg1/Rnf19b/Arhgdib/Clec7a/Mybbp1a/Egr1/Ppp1r18/Marcksl1/Rnd1/Dusp5/Cebpb/Cd44/S1pr3/Efhd2/Ets2/Bysl/Sema4c/Dusp1/Heatr1/Ngf
TRAVAGLINI_LUNG_ADVENTITIAL_FIBROBLAST_CELL,286,0.568765894,1.912060023,3.24E-11,3.08E-07,2.74E-07,4410,"tags=40%, list=17%, signal=34%",Tubb6/Has2/Timp1/Tnfrsf12a/Pxdc1/Csf1/Anxa1/Fosl1/Fgl2/Lum/Mrc2/Fbln1/Col1a1/Islr/Ptx3/Sfrp4/Il1r1/Plaur/Pthlh/Socs3/Podn/Lgals3/Mmp2/Nfkbiz/Prrx1/Ccn5/Scpep1/Ctsh/Cd248/Osr2/Apod/Nnmt/Pcolce/Marchf3/Ackr3/Myoc/Mt2/Phgdh/Cxcl12/Medag/Jun/Steap1/Htra3/Pros1/Dcn/Igfbp6/Adh1/Ifitm1/Rdh10/Plat/Scara5/S1pr2/Adm/Emp1/Ccdc80/Tgfbr2/Lepr/Colec12/Cyp1b1/Rgma/Csrnp1/Uap1/Plau/Slpi/Mgp/C1rb/Gprc5a/Lrrc17/Nova1/Spsb1/Fbln2/Abi3bp/Cxcl14/Lox/C3/Abl2/Sertad1/Fosb/Mt1/Ybx3/Clmp/Thbs2/Rtn4/S100a10/Clec3b/Rarres1/Egr1/Tsku/Uchl1/Sema3c/Gsn/Thy1/Meg3/Cd44/Lamb2/Lmna/Anxa2/Nt5e/Cfd/Col1a2/Zc3hav1/Ftl1/Dusp1/Efemp1/Vat1/Mcl1/Akr1cl/Hsd3b7/Skil/Serpinf1/Srpx/Ier2/Dab2/Apol9a/Svep1
TRAVAGLINI_LUNG_LIPOFIBROBLAST_CELL,139,0.648185903,2.050203914,2.93E-10,1.85E-06,1.65E-06,3366,"tags=40%, list=13%, signal=35%",Wt1/Sema6a/Has2/Timp1/Phlda1/Cth/Tgif1/Fosl1/Cfi/Ccdc71l/Col1a1/Il1r1/Fam124a/Plaur/Socs3/Cdkn1a/Nfil3/Trib1/Ell2/Ctsh/Apod/Nnmt/Mt2/Pappa/Cxcl12/Medag/Cpxm1/Ptpn1/Plin2/Pros1/Crem/Ifitm1/Rdh10/Cxcl1/Ccdc80/Rel/Cyp1b1/Sgk1/Fndc4/Cdc42se1/Uap1/Gprc5a/Tuba1c/Tbx18/C3/Mt1/Atp13a3/Gli3/Thbs2/Ngfr/Rarres1/Mapkapk2/Marcksl1/Cebpb/Tmsb10
GOMF_RECEPTOR_REGULATOR_ACTIVITY,394,0.518698602,1.776098339,1.60E-09,7.61E-06,6.78E-06,3930,"tags=32%, list=15%, signal=28%",Crh/Gal/Sema6a/Timp1/Fgf3/Inhbb/Csf1/Clcf1/Bmp1/Nts/Flrt3/Fgf15/Vgf/Grem2/Fgf11/Cmtm3/Il6/Tgfa/Cxcl16/Tgfb1/Adm2/Pthlh/Fst/Colec10/Bmp4/Ucn/Lgals3/Il27/Fgf16/Bdnf/Metrnl/Tnfsf14/Pdgfd/Ccl21a/Grp/Inhba/Igsf1/Wnt4/Adcyap1/Il34/Il21/Cxcl12/Dkk1/Sema6c/Insl6/Npy/Artn/Hcrt/Dpp4/Cdc42ep2/Enho/Pomc/Ccl11/Cxcl1/Igf2/C1qtnf9/Fgf20/Adm/Pmch/Dkkl1/Ccl19/Il15/Crlf1/Ly6e/Il24/Il1b/Gnrh1/Fgf4/Fam3b/Il17b/Wnt5b/Ntf5/Gdf3/Inhbc/Tnfrsf11b/Wnt8a/Tg/Cxcl9/Btc/Il16/Adh7/Il36rn/Clec12a/Cxcl14/Sct/Pth/Wnt2b/Lta/Gcg/Cort/Il20/Wnt3a/Cmtm8/Bmp7/Lhb/Clec11a/Gmfg/Lefty1/Dgkq/Pdgfc/Wnt3/Agt/Cer1/Prrt1/Wnt9a/Shh/Spp1/Lynx1/Nppb/Sema3c/Gdf5/Rabep2/Vip/Pate4/Thbs4/Sema3g/Cxcl5/Gdnf/Cmtm2b/Edn3/Mdk/Sema4c/Bmp10/Pgf/Calca/Ngf/Efemp1
MCLACHLAN_DENTAL_CARIES_UP,235,0.56382281,1.871523132,4.68E-09,1.50E-05,1.34E-05,4425,"tags=40%, list=17%, signal=34%",Crybg1/Timp1/Fgl2/Slc1a4/Gzmb/Cfi/Acp5/Trbc2/Il6/Sfrp4/Plaur/Tnfaip6/Lrrc15/Socs3/Nfil3/Il13ra1/Angptl2/Trib1/Ctsh/Abca1/Fyb/Serpina3m/Nnmt/Ccr2/Chl1/Inhba/Irf4/Mt2/Cfb/Cxcl12/Cebpd/Ptprc/C4b/Rab31/Plac8/Mthfd2/Rnase6/Serpinb2/Cybb/Ackr1/Ifi30/Cxcl1/Adm/Evi2a/Crlf1/Csf2rb2/Cyba/Cd79a/Vcam1/Ms4a6c/Tnfrsf1b/Saa1/Il1b/Blnk/Ly96/Plau/Slpi/Mgp/S100a8/Bcl3/Cxcl9/Ctss/Cd84/C3/Ncf4/Mt1/Alox5ap/Kpna2/Cytip/Tent5c/Arhgdib/Clec7a/Aqp3/Rac2/Ucp2/Mndal/Sla/Spp1/Lbp/Cd44/Thbs4/Cfd/Hcls1/Cxcl5/Skap2/Tnfaip8/Il10ra/Mcl1/Gabbr1/Slc46a3/Kdm5d/Tyrobp/Rps4x/Anpep/Fpr1
GSE3039_NKT_CELL_VS_B2_BCELL_DN,196,0.582210001,1.902930522,5.23E-09,1.50E-05,1.34E-05,3553,"tags=37%, list=13%, signal=32%",Gal/Adam8/Tnfrsf12a/Trp53i11/Sphk1/Csf1/Fosl1/Procr/Tesmin/Cish/Slc15a3/Tes/Irs2/Tm4sf1/Tnfaip6/Akr1b8/Uck2/Cdkn1a/Lgals3/Nfil3/Mmp2/Sycp2/Trib3/Abca1/Dusp4/Basp1/Arg1/Slc2a1/Cd109/Echdc3/Dusp16/H2-T23/Chst1/Elk3/H1f4/Rhov/Chd7/Pla1a/Cped1/Ddit3/Zfp523/Il1b/Csrnp1/Tbc1d14/Rnf149/Ell/Slco4a1/Gpat3/Aqp9/Cxcl14/Wbp1l/Sertad1/Apbb3/Cytip/Hilpda/Schip1/Hmga2/Gpr19/Paxbp1/Fzd2/Ccdc97/Spp1/Tecpr1/Cebpb/Mafk/Nyx/Nt5e/Creb5/Ets2/Atf5/Usp53/Bhlhe40
PASINI_SUZ12_TARGETS_DN,308,0.535494124,1.806795662,5.53E-09,1.50E-05,1.34E-05,4509,"tags=40%, list=17%, signal=33%",Tubb6/Sox11/Tnfrsf12a/Csf1/Anxa1/Phlda1/Loxl2/Bmp1/Fosl2/Cited2/Flrt3/Ier5/Col1a1/Tes/Sdc1/Cmtm3/Igfbp3/Irs2/Sfn/Amotl2/Anxa3/Cdkn1a/Gap43/Bmp4/Rras2/Trib1/Bdnf/Metrnl/Wnt4/Cdk6/Pkp2/Cdkn2b/Ttyh3/Jun/Tmem43/Steap1/Plin2/Slc25a24/Prom1/Ccn4/Rdh10/Ccng1/Stmn2/Thbs1/Tspan9/Arl4c/Colec12/Crlf1/Epha1/Csrp1/Pik3r3/Tmbim1/Lrrfip1/Cyp1b1/Glipr2/Clic1/Tcf12/Klf6/Tpm4/Vcan/Flna/Lgals1/Pdlim3/Gprc5a/Fam107b/Zyx/Ctxn1/Coro1c/Spsb1/Abracl/Tax1bp3/Filip1l/Vim/Gli3/Cdh2/Hmga2/B2m/Col5a1/Phip/S100a10/Sh3glb1/Igfbp5/Tmem123/Fzd2/Itgb1/Ppp1r18/Reep3/Dyrk2/Sema3c/Marveld2/Gsn/Meg3/Farp1/Nr6a1/Anxa2/Nt5e/Limd1/Akt1/Lpp/Dbn1/Pawr/Dusp14/Bhlhe40/Col1a2/Mllt11/Dusp1/Abtb2/Pdlim7/Efemp1/Amfr/Cavin1/Vat1/Krt19/Skil/Rps6ka3/Rap2b/Pxdn/Cldn12/Ryk/Myadm/Dusp6/Poglut2/F3
DELYS_THYROID_CANCER_UP,410,0.495137338,1.695192897,1.19E-08,2.82E-05,2.51E-05,3630,"tags=32%, list=14%, signal=28%",Cx3cr1/Has2/Crybg1/Bcat1/Timp1/Inhbb/Anxa1/Loxl2/Mrc2/Lamb3/Pmaip1/Slc7a5/Cfi/Col1a1/Sdc1/Tgfa/Mall/Chst2/Igfbp3/Abcc3/Tnfaip6/Prdm1/Plcd1/Sfn/Mapk13/Cdkn1a/Lgals3/S100a11/Il13ra1/Odc1/S100a2/Krt17/Krt6a/Ecm1/Mfge8/Ctsh/Dsc2/Kcnq3/Igf2bp2/Dusp4/St14/Eps8/Stac/Entpd1/Inhba/Tiam1/Igsf1/Cldn7/Cfb/C4b/Plin2/Pros1/Nrip1/Igfbp6/Rnase6/Plpp2/Icam4/Enc1/Dpp4/Ccl11/Ifi30/Cxcl1/Anxa8/Tk1/Stmn2/Adm/Thbs1/Fap/Ror1/Pask/Crlf1/Ly6e/Trim30a/Mvp/Lst1/Cyba/Tspo/Slc26a3/Ms4a6c/Cyp1b1/Slc17a9/Pcdh7/Nmu/Vcan/Plau/Slpi/Lgals1/Syngr2/Ctss/Fjx1/Coro1c/C3/Tax1bp3/Kdelr3/Alox5ap/Map4k4/Fxyd5/Cdh2/C2/Krt13/Thbs2/Hmga2/Tmc6/Itgb7/S100a10/Arhgdib/Trim29/H2ax/Itpr3/Ucp2/Krt14/St3gal5/Emp3/Rras/Mndal/Spp1/Cttn/Dusp5/Ctsd/Cd44/Adam12/Tmsb10/Anxa2/Nt5e/Pnp2/Spint1/Slc6a1/Plxnb1/Bhlhe40/Gabbr2/Mllt11
NAGASHIMA_NRG1_SIGNALING_UP,160,0.601824375,1.934030255,1.98E-08,4.17E-05,3.72E-05,4830,"tags=48%, list=18%, signal=40%",Gal/Atf3/Tubb6/Tnfrsf12a/Sphk1/Itpkc/Gadd45a/Cth/Clcf1/Fosl1/Flrt3/Ier5/Pmaip1/Tes/Arc/Irs2/Plekho2/Plaur/Lrrc15/Sfn/Nfil3/Snai2/Trib1/Sprr1b/Dusp4/Il6ra/Pprc1/Jun/Lama3/Ifrd1/Aen/Pfkfb3/Adm/Sik1/Fut4/Rel/Ddit3/Sgk1/Klf6/Zyx/Tnfrsf11b/Slco4a1/Per1/Fhl2/Fosb/Psme4/Hilpda/Cyp24a1/Dusp10/Aqp3/Fbxl12/Spata2l/Egr1/Ccnl1/Cttn/Dusp5/Avpi1/Cebpb/Egr3/Ets2/Bhlhe40/Dusp1/Lypd3/Inpp1/Nedd9/Tubb2a/Mcl1/Map3k14/Gtpbp4/Ier2/Isg20/Socs1/Ndel1/Ppp1r15a/Klf2/Npc1/Herc4
GOLDRATH_ANTIGEN_RESPONSE,322,0.519702162,1.760669276,3.87E-08,7.35E-05,6.55E-05,4541,"tags=33%, list=17%, signal=28%",Kif22/Crybg1/Batf3/Adam8/Anxa1/Prc1/Fgl2/Cited2/Nek2/Cish/Gzmb/Ccnb2/Ccnb1/Cdc6/Clic4/Rhoq/Prdm1/Lgals3/Nfil3/Cd244a/S100a11/Casp3/Odc1/Ell2/Tcf19/Scpep1/Itgax/Serpina3m/Mis18bp1/Ccr2/Lmnb1/Mapk6/Irf4/Chek1/H3c8/Fignl1/Cdk1/Mt2/Rnh1/H2-T23/Mthfd2/Ifi30/Cdca3/Dhrs1/Tk1/Rora/Ncaph/Ccr5/Emp1/Tacc3/Adgre1/Cdca8/Evi2a/H1f2/Gtse1/Ifitm3/Tpm4/Slpi/Lgals1/Lyl1/Slc4a7/Carhsp1/Abracl/C3/Ncf4/Ect2/Fhl2/Lat2/Mt1/Kpna2/Ybx3/S100a10/Tktl1/H2ax/Tbl2/Emp3/Itgb1/Ctsd/Kif20a/Cd44/Lmna/Anxa2/Ccnf/N4bp1/Efhd2/Bhlhe40/Snx10/Mcm5/Socs2/Dna2/Skap2/Dusp1/Ssx2ip/Stmn1/Ran/Rnf227/Car1/Runx2/Plcg2/Cma1/Tyrobp/Myadm/Cks2/Anxa4/Cd68/Gng10
SMID_BREAST_CANCER_LUMINAL_B_DN,483,0.471419109,1.630656882,4.84E-08,8.02E-05,7.14E-05,2775,"tags=27%, list=11%, signal=25%",Gal/Sox11/Egfr/Crybg1/Anxa1/Itga7/Lamb3/Ltbp1/Gzmb/Fbln1/Cfi/Tmem45a/Chac1/Trbc2/Apba2/Ptx3/Il6/Sfrp4/Mall/Igfbp3/Tm4sf1/Clic4/Klk7/Akr1b8/Fscn1/Sfn/Anxa3/Nsg1/Nfil3/Rras2/En1/S100a2/Krt17/Krt6a/Mfge8/Dsc2/Apod/Nnmt/Ccl21a/Igf2bp2/Ccr2/Cd247/Ly9/Tet3/Mt2/Krt16/Phgdh/Cxcl12/Ptprc/Dkk1/Steap1/Pros1/Prom1/Plac8/Dcn/H2-Ob/Adh1/Ackr1/Meox2/Ccl11/Cxcl1/Anxa8/Igf2/Plin1/Fmo2/Adm/Adamts1/Bace2/Arl4c/Lepr/Ccl19/Crlf1/Ptprcap/Psat1/Cyba/Pira2/Cd79a/Fermt1/Vcam1/Saa1/Gabrp/Cyp1b1/Extl1/Fndc4/Klf6/Fndc3b/Rgcc/Nmu/Vcan/Lck/Slpi/Ch25h/Flna/Spib/Plaat1/Ace2/Col14a1/Il2rg/Plscr3/S100a8/Tnfrsf11b/Cxcl9/Sit1/Dlk1/Fbln2/Pla2g4a/Dsg3/C3/Impa2/Rcan1/Mt1/Slc6a15/Dock2/Cdkn1c/Elf5/Mras/Ybx3/Lyve1/Cytip/Gad2/Clec4a3/Smco4/Micall1/Itgb7/Cd38/Peli1/Fhod3/Gpr19/Trim29/Cdkn2a/Angpt1/Rac2
HALLMARK_TNFA_SIGNALING_VIA_NFKB,190,0.573786263,1.870774074,5.07E-08,8.02E-05,7.14E-05,4821,"tags=44%, list=18%, signal=36%",Atf3/Sphk1/Csf1/Gadd45a/Phlda1/Clcf1/Tgif1/Fosl1/Fosl2/Serpine1/Lamb3/Ier5/Ptx3/Il6/Irs2/Plaur/Tnfaip6/Socs3/Cdkn1a/Nfil3/Trib1/Abca1/Tnip2/Dusp4/Inhba/Ackr3/Jun/Cebpd/Serpinb2/Stat5a/Cxcl1/Pfkfb3/Traf1/Pde4b/Sik1/Fut4/Rel/B4galt5/Il1b/Sgk1/Klf6/Plau/Ripk2/Bcl3/Tsc22d1/Fjx1/Spsb1/Per1/Rcan1/Fosb/Rnf19b/Il15ra/Btg1/Ehd1/Egr1/Ccnl1/Dusp5/Nfkb1/Smad3/Cebpb/Cd44/Egr3/Ets2/Bhlhe40/Cxcl5/Tnfaip8/Dusp1/Dram1/Tubb2a/Ifngr2/Mcl1/Tlr2/Trip10/Pmepa1/Ier2/F3/Slc16a6/Btg2/Ppp1r15a/Marcks/Ptgs2/Klf2/Birc3
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN,176,0.577171322,1.879306914,9.15E-08,0.000133555,0.000118952,3940,"tags=36%, list=15%, signal=31%",Kif22/Batf3/Adam8/Anxa1/Prc1/Fgl2/Nek2/Cish/Gzmb/Ccnb2/Cdc6/Rhoq/Prdm1/Lgals3/Cd244a/Casp3/Odc1/Ell2/Tcf19/Scpep1/Itgax/Mis18bp1/Ccr2/Mapk6/Irf4/Chek1/Cdk1/Mt2/Plin2/Ifi30/Cdca3/Tk1/Ncaph/Ccr5/Emp1/Tacc3/Cdca8/H1f2/Ifitm3/Lgals1/Carhsp1/C3/Ect2/Fhl2/Mt1/S100a10/Tktl1/H2ax/Tbl2/Emp3/Itgb1/Kifc5b/Kif20a/Anxa2/Ccnf/Efhd2/Bhlhe40/Snx10/Mcm5/Socs2/Skap2/Bmp2k/Stmn1
GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_DN,183,0.573932719,1.863974714,1.21E-07,0.000163856,0.00014594,2361,"tags=26%, list=9%, signal=24%",Tubb6/Timp1/Inhbb/Smim3/Fgl2/Nts/Crybb3/Cish/Slc15a3/Gzmb/Tm4sf1/Clic4/St6galnac4/Cdkn1a/Nfil3/Six3/Trib1/Apod/Arsi/Mapk6/Epb41l4a/Basp1/Medag/Txnrd1/Cacna2d1/Dusp16/Cybb/Stat5a/Rdh10/Ccl11/Plat/Aen/Adm/Emp1/Mx2/Il15/Saa1/Glipr2/Klf6/Adora2b/Zbtb32/Hivep3/Cxcl9/Spsb1/Hdc/Gm13889/Mt1/Slc25a25
VERHAAK_GLIOBLASTOMA_MESENCHYMAL,206,0.559466112,1.840723794,2.49E-07,0.000315277,0.000280804,3993,"tags=40%, list=15%, signal=34%",Crybg1/Timp1/Tgfbi/Anxa1/Clcf1/Procr/Serpine1/Mrc2/Ltbp1/Col1a1/Tes/Cdcp1/Cyth4/Il1r1/Man1a/Plaur/Nod2/Mapk13/Lgals3/S100a11/Gna15/Scpep1/Dsc2/St14/Il4ra/Fes/Itgam/Ptprc/Igfbp6/Casp8/Ifi30/Sec24d/Dok3/Ccr5/Thbs1/Tgfbr2/Fhod1/Trim30a/Mvp/Tnfrsf1b/Tmbim1/Lrrfip1/Clic1/Fndc3b/Ly96/Slc11a1/Uap1/Plau/Lgals1/Pla2g15/Syngr2/Themis2/Lox/Ncf4/Fhl2/Ampd3/Tradd/Fxyd5/Zfp217/Cytip/Arhgap29/Il15ra/Col5a1/Itga5/Rac2/Ucp2/Emp3/Rras/Pold4/Pirb/Rab11fip1/Rhog/Cebpb/Adam12/Anxa2/Mcub/Col1a2/Trim34a/Thbd/Tnfaip8/Trim38/Dram1/Cavin1
