Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN,422,0.606249271,1.826251034,8.26E-16,1.57E-11,1.29E-11,3449,"tags=34%, list=13%, signal=30%",Tubb6/Tgfbi/Crybg1/Anxa1/Ptgs2/Egfr/Fscn1/Ifi27l2b/Pxdc1/Dsg2/Fosl1/Parp4/Clic4/Prss12/Bmp1/Akr1b8/Srpx2/Snai2/Anxa3/Kirrel/Igf2bp2/Smad3/Loxl2/Cavin1/Rgs20/Tlr2/Twist2/Gna15/Cd109/Scpep1/Krt14/Dsc3/Cdcp1/Ybx3/Cdk6/Fermt1/Lamb3/Fst/Trim5/Fndc3b/Mmp14/Frmd6/Hrct1/Fgfbp1/Krt17/Gbp2/Dsg3/Ets2/Galnt2/Tgfa/Serpinb2/Mfge8/Slc25a37/Krt6a/Nav2/Ell2/Tnfrsf10b/Cald1/B3gnt5/Cotl1/Slc1a3/Lamc2/Ptk7/Rras2/Psat1/Ereg/Pgm2/Nnmt/Irs2/Map7d3/Cxcl2/Icam1/Itgb8/Krt16/Apol6/Inpp1/Sgk1/Ccdc80/Inhba/Adm/Plscr1/Itga1/Rnd3/Add3/Axl/Htra1/Akr1cl/Anxa8/Col8a1/Tgfbr2/Pkp2/Clmp/Hsd17b11/Col4a1/Gpm6b/Sh3d19/Rgcc/S100a2/Sting1/Cfi/Antxr1/Adrb2/Itgb1/Sh3kbp1/Ppp1r14c/Osmr/Birc3/Elk3/Lox/Fmnl2/Dock5/Ctsc/Micall1/Tax1bp3/Btnl10/Col4a2/Pdgfc/Serpinb5/Rbfox2/Dgka/Lbh/Il1rap/Cavin3/Tnfaip8/Ppp4r1/Plat/Rnf145/Cryab/Anxa4/Ccdc88a/Nrp1/Riok3/Ada/Soat1/Jag1/Lyn/Hrh1/Abcd3/Septin10/Gjb3/Fzd6/Dse/Pla2g4a/Cebpd
SMID_BREAST_CANCER_LUMINAL_B_DN,483,0.559276771,1.692803938,4.31E-12,2.91E-08,2.40E-08,2584,"tags=32%, list=10%, signal=29%",Crybg1/En1/S100a8/Anxa1/Ptgs2/Sox11/Egfr/Fscn1/Igfbp3/Ltbp1/Fhod3/Clic4/Ptx3/Akr1b8/Gramd3/Klk7/Anxa3/Igf2bp2/Ptgfr/Gal/H2-Ob/Cd37/Cyp1b1/Col14a1/Mia/Pdpn/Krt14/Crlf1/Dsc3/Cdkn2a/Ybx3/Chac1/Phgdh/Fermt1/Lamb3/Mpzl2/H2-Aa/Lgals2/Dsc2/Nsg1/Wif1/Ace2/Stag3/Mall/Fndc3b/Apba2/Muc16/Smco4/Mmp14/Itga7/Ly9/Plin1/Krt17/H2-Ab1/Ms4a1/Ltb/Gbp2/Inava/Krt81/Cd2/Dsg3/Ptprc/Il2rg/Itk/Prelp/Mfge8/Trbc2/Slc25a37/Krt6a/Tet3/Rbp4/Plagl1/Ccl7/Cald1/Flna/Igf1/Wnt6/Ccn3/Slc2a3/Cxcl10/Gzmb/Cotl1/Bace2/Efemp1/Ptk7/Rras2/Psat1/Tm4sf1/Nnmt/Adgrg6/Tnni2/Cxcl2/Vcam1/Icam1/Clec4a3/Cd3g/Krt16/Zfp532/Ccl2/Kcnn4/Abca8b/Adm/Capn6/S100a1/Aldh1a1/Tnc/Tnfrsf11b/Rnd3/Ptprz1/Add3/Myh11/Mylk/Tmem45a/Ccl19/Anxa8/Spib/Dkk1/Pros1/Isg20/Ackr1/Tnfrsf21/Gpm6b/Apod/Folh1/Vcan/Ccn2/Mgl2/Sox10/Sostdc1/Rgcc/S100a2/Peli1/Fbln2/Tcf7l1/Cfi/Ido1/Galnt3/Meox2/Lck/Gsta1/Fabp7/Birc3/Igf2/Angptl4/Nfil3/Ryr1/Ctsc/Micall1/Cyp39a1/Mycn/Col4a2/Lad1/Ccl21a
WU_CELL_MIGRATION,169,0.673904494,1.957373392,4.60E-12,2.91E-08,2.40E-08,3155,"tags=39%, list=12%, signal=35%",Sox9/Tubb6/Krt19/Tgfbi/Crybg1/Ptgs2/Fosl1/Igfbp3/Olr1/Gramd3/Spint1/Snai2/Igf2bp2/Loxl2/Serpine1/Rgs20/Rab31/Scnn1a/Aqp3/Wnt5a/Thbs1/Gata3/Podxl/Cldn7/Krt17/Rab25/Tfpi2/Ptges/Epcam/Plagl1/Efemp1/Lgals3/Vim/Fkbp11/Tm4sf1/Eps8/Nnmt/Ehf/Cxcl2/Timp3/Plin2/Axl/Akr1cl/Anxa8/Col4a1/Tgm2/Tnfrsf21/Vcan/Arhgdib/S100a2/St14/Epas1/Galnt3/Col18a1/Col4a2/Pdgfc/Lad1/Ppl/Ugcg/Ctsh/Smurf2/Fyn/Arl4c/Dtx4/Jag1/Lima1
PASINI_SUZ12_TARGETS_DN,308,0.605405387,1.811861342,6.34E-12,3.00E-08,2.47E-08,4350,"tags=42%, list=17%, signal=36%",Tubb6/Krt19/Anxa1/Flrt3/Sox11/Igfbp3/Csf1/Phlda1/Tnfrsf12a/Bmp1/Sdc1/Limd1/Anxa3/Loxl2/Cavin1/Metrnl/Car3/Cyp1b1/Wnt4/Crlf1/Cdk6/Tmem43/Thbs1/Fosl2/Epha1/Pxdn/Mmp14/Samd4/Colec12/Cited2/Csrp1/Grb10/Sema3c/Lpar4/Ccn4/Lgals1/Ltb/Cmtm7/Gbp2/Filip1l/Gap43/Ier5/Vgll3/Pdgfb/Cald1/Flna/Efemp1/Rras2/Vim/Cd276/Acta2/Cdkn2b/Irs2/Tes/Tmem123/Spsb1/Rbp1/Myo1c/Ro60/Jun/Cnn2/Dusp14/Plin2/Rap2b/Rnd3/Axl/Rab34/Pkp2/Col5a1/Reep3/Bmp4/Cdkn1a/Marveld2/Vcan/Timp2/Glipr2/Zyx/Ammecr1l/Fzd2/Itgb1/Tcf12/Rps6ka3/Tpm4/Marcks/Bdnf/Itga3/Cdh2/Tax1bp3/Ptpn12/Gsn/Tmcc3/Vcl/Arl4c/Hmgn3/Abracl/Cryab/Cmtm3/Sh3pxd2a/Dbn1/Slc25a24/Tspan9/Soat1/Jag1/Nr6a1/Abhd2/Steap1/Mtpn/Stmn2/Synpo2l/Ncs1/Setd7/Clic1/Phip/Farp1/Lpp/Serpinh1/Kpna4/Msn/Sh3bgrl/Plod2/Coro1c/Amfr/App/Cd24a/Dsp/Parva/Meg3/Capn2/Ccng1/Socs6
SMID_BREAST_CANCER_RELAPSE_IN_BONE_DN,272,0.620045215,1.848202965,1.90E-11,7.21E-08,5.94E-08,4766,"tags=43%, list=18%, signal=36%",Sox9/En1/S100a8/Ephx3/Ptgs2/Sox11/Egfr/Fscn1/Ltbp1/Clic4/Ptx3/Bmp1/Klk7/Wnt5b/Igf2bp2/Ptgfr/Gal/H2-Ob/Mia/Pdpn/Krt14/Crlf1/Dsc3/Smpdl3b/Cdkn2a/Ybx3/Phgdh/Fermt1/Lgals2/Dsc2/Wif1/Ace2/Mall/Apba2/Muc16/Mmp14/Msh6/Fgfbp1/Oca2/Krt17/Cxcr4/H2-Ab1/Gbp2/Cdh19/Krt81/Qpct/Prelp/Serpinb2/Mfge8/Slc25a37/Krt6a/Flna/Slc7a5/Slc2a3/Psat1/Tm4sf1/Rbp1/Krt16/Cdv3/Kcnn4/Capn6/S100a1/Tnfrsf11b/Ptprz1/Tmem45a/Obp2a/Spib/Dkk1/Tnfrsf21/Gpm6b/Folh1/Sox10/Sostdc1/S100a2/Fabp7/Ryr1/Micall1/Cyp39a1/Col4a2/Acan/Picalm/Fyn/Arl4c/Zfp36l2/Ptp4a3/Pramel13/Cryab/Bgn/Nfib/Riok3/BC005537/Mapk8/Gjb3/Pla2g4a/Art3/Trim2/Ttyh1/Cask/Plod2/Qk/Ybx1/Prkx/Fzd7/Cd44/Lmo4/Prdm13/Klhl7/Slc43a3/Pou2af1/Prkd3/Nup62/Cdkal1/Il12rb2/Sfrp1/Gldc/Clip4/Cp
ONDER_CDH1_TARGETS_2_DN,402,0.566009514,1.702418239,6.67E-11,2.11E-07,1.74E-07,3521,"tags=36%, list=13%, signal=31%",Sox9/Crybg1/Sprr1a/S100a8/Flrt3/Ptgs2/Galnt6/Dsg2/Fhod3/Xdh/Serpinb1a/Adam8/Sdc1/Spint1/Klk7/Artn/Oas3/Anxa3/Tlr2/H2-Ob/Gna15/Areg/Scnn1a/Aqp3/Mia/Pdpn/Krt14/Dsc3/Cdcp1/Smpdl3b/Cblc/Sprr1b/Fermt1/Lamb3/Mpzl2/Kcnj15/Fst/Dsc2/Nsg1/Robo1/Mall/Cyb5r2/Epha1/Ap1m2/Prrg4/Fgfbp1/Sema3c/Cldn7/Trem2/Krt17/Rab25/Ltb/Inava/Krt81/Dsg3/Qpct/Sema3b/Tfpi2/Tgfa/Rps6ka1/Ptges/Serpinb2/Fgd6/Cyp27b1/Krt6a/Epcam/Abca12/Slc7a5/Lypd3/Slc2a3/Bace2/Slc1a3/Lamc2/Ereg/Gch1/Cyp4f15/Rab38/Ehf/Stac/Cxcl2/Icam1/Krt16/Plxnb1/Kcnn4/Inhba/Timp3/Nrcam/Mreg/Ptprz1/Arhgap8/Anxa8/Ptafr/4930523C07Rik/Parp12/Mcoln3/Rln1/Isg20/Bik/Tmem40/Tnfrsf21/Gpm6b/Mob3b/Inpp4b/Il4ra/Epb41l4b/Arhgdib/S100a2/Peli1/Tcf7l1/St14/Mast4/Epas1/Galnt3/Adrb2/Birc3/Ctsc/Mark1/Lad1/Irx4/Ppl/Il1rap/Ddx60/Ctsh/Serinc5/AA986860/Arl4c/Cd1d1/Serpinb7/F11r/Zhx2/Lyn/Lima1/Ccng2/Adgra3/Apoc1/Steap1/Flnb/Cds1/Gjb3/Pla2g4a/Atp2b4/Bhlhe41/Adgre5
JAEGER_METASTASIS_DN,221,0.622001917,1.833696012,2.75E-10,7.45E-07,6.14E-07,3391,"tags=38%, list=13%, signal=34%",Krt19/Crybg1/Sprr1a/S100a8/Ephx3/Egfr/Cxcl14/Fhod3/Sdc1/Akr1b8/Klk7/Gna15/Areg/Scnn1a/Aqp3/Mmp28/Krt14/Dsc3/Sprr1b/Wnt5a/Fermt1/Lamb3/Mpzl2/Fst/Dsc2/Col7a1/Gata3/Echdc2/Fgfbp1/Krt17/Rab25/Matn2/Chn2/Inava/Dsg3/Qpct/Ets2/Fzd10/Prelp/Krt6a/Abca12/Ntrk2/Lypd3/Abcc3/Itpr3/Lamc2/Tm4sf1/Ehf/Dusp7/Cd207/Krt16/Cdhr1/Tyrp1/Nrcam/Slc1a4/Dsc1/Ptprz1/Tmem45a/Anxa8/Mcoln3/Mid2/Sowahc/S100a2/St14/Mast4/Plppr4/Dnase1l3/Ptgs1/Mal/Lad1/Dgka/Irx4/Ltb4r1/Ppl/AA986860/Aspa/Fcgbp/Nfib/Jag1/Abhd2/Serpinb3a/Efs/Ctnnd1/Cds1/Gjb3
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,423,0.552016016,1.662721387,3.92E-10,9.29E-07,7.65E-07,4962,"tags=39%, list=19%, signal=32%",Tubb6/Has2/Tgfbi/Anxa1/Glis3/Ptgs2/Egfr/Fscn1/Fosl1/Chst2/Pappa/Fhod3/Bach1/Prss12/Ptx3/Bcat1/Serpinb1a/Snai2/Wnt5b/Kirrel/Igf2bp2/Smad3/Loxl2/Serpine1/Cavin1/Rgs20/Twist2/Rab31/Timp1/Cdk6/Fst/Gadd45a/Layn/Fosl2/Pxdn/Hrct1/Tead1/Ankrd28/Syde1/Cmtm7/Galnt2/Mfge8/Socs3/Slc25a37/Gulp1/Tnfrsf10b/Tram2/Cald1/B3gnt5/Vim/Acta2/Nnmt/Arhgef40/Tgfb1/Inpp1/Nr2f1/Rtn4/Eng/Sgk1/Inhba/Adamts12/Itga1/Add3/Mylk/Axl/Nol9/Rab34/Htra1/Akr1cl/Sparc/Tgfbr2/Clmp/Loxl1/Pros1/Col5a1/Hsd17b11/Col4a1/Nid2/Timp2/Mmp2/Glipr2/S100a2/Lamb1/Antxr1/Fzd2/Sh3kbp1/Osmr/Bdnf/Elk3/Fmnl2/Cdkn2c/Kank2/Ctsc/Col4a2/Pdgfc/Picalm/Lbh/Antxr2/Cavin3/Sh2d5/Ppp4r1/Vcl/Plat/Rnf145/Zcchc24/Ube2g1/Abcc4/Cmtm3/Ccdc88a/Zeb1/Nrp1/Soat1/Jag1/Lyn/Basp1/Hrh1/Cenpv/Wipf1/Ctnnal1/Dse/Map7d1/Igfbpl1/Lix1l/Adgre5/Gstp2/Ndel1/Ikbip/Il6/Sgtb/Runx2/Erfe/Gls/Msn/Adora2b/Qk/Coro1c/Nab1/Fzd7/Cd44/Parva/Efemp2/Serpine2/Dpy19l1/Trio/Fam171a1/Dennd5a/Sh3glb1/Epb41l2/Etv5/Washc4/Gng11/Gxylt2/Prkd3/Lpar1/Arap3/Sfrp1/Emp3/Bicd2/Kpnb1/Atp10d/Map4k4/Epha2/Itprid2
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,388,0.546774419,1.647353315,2.67E-09,5.63E-06,4.64E-06,5281,"tags=44%, list=20%, signal=36%",Sox9/Has2/Sema6a/Anxa1/Ptgs2/Pik3cg/Cdh13/Srpx2/Anxa3/Tpbg/Loxl2/Cyp1b1/Acvr1c/Timp1/Ddr2/Wnt5a/Fermt1/Prox1/Has1/Gadd45a/Itga4/Thbs1/Dpp4/Robo1/Gata3/Gata2/Twist1/Ephb4/Sox8/Acvr1/Fgfbp1/Sema3c/Rab25/Syde1/Sema3b/Sh3bp1/Lama5/Fgf16/Mmrn2/Gdnf/Scarb1/Pdgfb/Ccn3/Ppard/Stat5a/Alx1/Tgfb1/Hrg/Smoc2/Krt16/Egr3/Rhoj/Phactr4/Rtn4/Cer1/Pxn/Crb2/Rock2/Phox2b/Sash1/Sparc/Tgfbr2/Srf/Kitl/Card10/Lpxn/Bmp4/Gpld1/Ednrb/Rreb1/Epb41l4b/Arhgdib/Sox10/Glipr2/Rgcc/S100a2/Meox2/Itgb1/Lgals12/Ptk2/Dock5/Itga3/Cdh2/Kank2/Apoe/Sema6b/Hspb1/Srgap2/Ctsh/Jcad/Sgpl1/Mta2/Smurf2/Adipor2/P2rx4/Tnf/Nrp2/Lrp5/Itgb3/Sema3g/Ptp4a3/Amot/Angpt2/Bcar1/Foxc2/Nrp1/Mir26a-1/Epb41l5/Gna12/Egf/Sema4c/Adam17/Cenpv/Zeb2/Sema5a/Atp2b4/Slc8a1/Arf6/Src/Rras/Arhgap4/Ago2/Gdf2/Hdac7/Il4/Pik3c2a/Sema4a/Mia3/Ret/Zfand5/Sp1/Iqsec1/Tgfbr1/Coro1c/Fgfr1/Emp2/Prkx/Sema6d/Pdlim1/Cib1/Clec14a/Efnb1/Rin2/Arsb/Sirt1/Paxip1/Rac1/Sdc4/Fgf18/Bmper/Zc3h12a/Radil/Dock1/Pak1/Pik3r3/Htr2b/Kit/Map4k4/Hif1a/Epha2/Pip5k1a/Arhgef7/Akt1/Cdh5/Gja1/Notch1/Evl/Ptn/Arid5b/Rhob/Rffl/Sema5b
LIU_PROSTATE_CANCER_DN,439,0.535835181,1.615857612,3.02E-09,5.73E-06,4.72E-06,4658,"tags=38%, list=18%, signal=32%",Tubb6/Krt19/Rnf152/Flrt3/Ltbp1/Chst2/Fhod3/Clic4/Sdc1/Snai2/Kirrel/Cavin1/Angptl2/Fgd5/Scpep1/Acox2/Aqp3/Slc47a1/Col14a1/Krt14/Dsc3/Ddr2/Lamb3/Mpzl2/Ankdd1a/Cyp4b1/Wif1/Col7a1/Layn/Robo1/Nid1/Dmkn/Gata3/Vstm4/Frmd6/Csrp1/Pdk4/Slc16a14/Cfd/Krt17/Lgals1/Gbp2/Inava/Ackr3/Ets2/Stom/Prelp/Tspan18/Nav2/Rbp4/Plagl1/Cald1/Flna/Enah/Col27a1/Abcc3/Efemp1/Acta2/Cyp4f15/Rarres2/Plekha2/Speg/Ehf/Gstm2/Arhgef40/Rbp1/Rhoj/Tmem200b/Inpp1/Aebp1/Pdlim4/Scgb1a1/Nhsl2/Myo15b/Timp3/Itga1/Mrgprf/Crabp2/Spon1/Myh11/Mylk/Rab34/Sparc/Wfs1/Clmp/Kitl/Pgm5/Col5a1/Osr2/Col4a1/Adcy9/Gpld1/Gpm6b/Stox2/Timp2/Sostdc1/Raver2/Ptgds/Lamb1/Epas1/Slc6a6/Lmod1/Gsta1/Sh3pxd2b/Hoxd11/Igf2/Slc14a1/Trip6/Kank2/Col4a2/Pdgfc/Lyst/Pkd2/Lcat/Hspb1/Fbln5/Denn2b/Sorbs1/Vcl/Fyn/Slc4a11/Myof/Traf5/Fcgbp/Cryab/Sh3pxd2a/Atp1a2/Cplx3/Efs/Hoxd10/S100pbp/Dse/Atp2b4/Ehd2/Gstp2/Zcchc14/Srd5a2/Tgfb3/Slc24a3/Cachd1/Nr3c2/Ttc28/Sh3bgrl/Eef2k/Cerk/Coro1c/Fgfr1/Sema6d/Fzd7/Pdlim1/Ankrd35/Aldh3a2/Armcx4/Efemp2/Fhdc1/Meg3/Tgfbr3/Meis1/Svil/Lamb2/Sh3glb1/Dtna/Slfn5/Tacc1/Lpar1/H2-T23
