gs,gene,symbol,entrez_gene,description
NP,ENSMUSG00000000037,Scml2,107815,Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
NP,ENSMUSG00000000049,Apoh,11818,apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]
NP,ENSMUSG00000000058,Cav2,12390,caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
NP,ENSMUSG00000000094,Tbx4,21387,T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
NP,ENSMUSG00000000127,Fer,14158,fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
NP,ENSMUSG00000000154,Slc22a18,18400,"solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]"
NP,ENSMUSG00000000204,Slfn4,20558,schlafen 4 [Source:MGI Symbol;Acc:MGI:1329010]
NP,ENSMUSG00000000216,Scnn1g,20278,"sodium channel, nonvoltage-gated 1 gamma [Source:MGI Symbol;Acc:MGI:104695]"
NP,ENSMUSG00000000248,Clec2g,70809,"C-type lectin domain family 2, member g [Source:MGI Symbol;Acc:MGI:1918059]"
NP,ENSMUSG00000000275,Trim25,217069,tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]
NP,ENSMUSG00000000295,Hddc2,69692,HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]
NP,ENSMUSG00000000303,Cdh1,12550,cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]
NP,ENSMUSG00000000359,Rem1,19700,rad and gem related GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:1097696]
NP,ENSMUSG00000000394,Gcg,14526,glucagon [Source:MGI Symbol;Acc:MGI:95674]
NP,ENSMUSG00000000544,Gpa33,59290,glycoprotein A33 (transmembrane) [Source:MGI Symbol;Acc:MGI:1891703]
NP,ENSMUSG00000000561,Wdr77,70465,WD repeat domain 77 [Source:MGI Symbol;Acc:MGI:1917715]
NP,ENSMUSG00000000682,Cd52,23833,CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]
NP,ENSMUSG00000000706,Btn1a1,12231,"butyrophilin, subfamily 1, member A1 [Source:MGI Symbol;Acc:MGI:103118]"
NP,ENSMUSG00000000817,Fasl,14103,"Fas ligand (TNF superfamily, member 6) [Source:MGI Symbol;Acc:MGI:99255]"
NP,ENSMUSG00000000827,Tpd52l2,66314,tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564]
NP,ENSMUSG00000000958,Slc7a7,20540,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 [Source:MGI Symbol;Acc:MGI:1337120]"
NP,ENSMUSG00000000959,Oxa1l,69089,oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]
NP,ENSMUSG00000000976,Heatr6,217026,HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]
NP,ENSMUSG00000001014,Icam4,78369,"intercellular adhesion molecule 4, Landsteiner-Wiener blood group [Source:MGI Symbol;Acc:MGI:1925619]"
NP,ENSMUSG00000001025,S100a6,20200,S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]
NP,ENSMUSG00000001054,Rmnd5b,66089,required for meiotic nuclear division 5 homolog B [Source:MGI Symbol;Acc:MGI:1913339]
