"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","symbol","description"
"ENSMUSG00000076434",309.647142665732,3.93434555963797,0.403193445612349,9.7579601118334,1.7055109515168e-22,6.07899654209765e-19,1.35026318083482,"Wfdc3","WAP four-disulfide core domain 3 [Source:MGI Symbol;Acc:MGI:1923897]"
"ENSMUSG00000064612",2.71792516713389,3.80019623480578,0.384637024899628,9.87995431744369,5.08560885929918e-23,3.02662808621649e-19,1.03973862031825,"Gm26457","predicted gene, 26457 [Source:MGI Symbol;Acc:MGI:5456234]"
"ENSMUSG00000020838",43.8453827835388,3.68231290402745,0.398718249408574,9.23537588131341,2.57380728533424e-20,6.46760688540895e-17,1.56703264774324,"Slc6a4","solute carrier family 6 (neurotransmitter transporter, serotonin), member 4 [Source:MGI Symbol;Acc:MGI:96285]"
"ENSMUSG00000094036",10.4339142342867,3.64190814006107,0.429897865970256,8.47156598891572,2.4211576020806e-17,3.81266835731807e-14,1.71914443680939,"Gm6465","predicted gene 6465 [Source:MGI Symbol;Acc:MGI:3642949]"
"ENSMUSG00000073680",58.7881922670045,3.59301900328373,0.322290893365866,11.1483727193152,7.29278480068234e-29,4.7912451854586e-25,2.19766790896217,"Tmem88b","transmembrane protein 88B [Source:MGI Symbol;Acc:MGI:2444329]"
"ENSMUSG00000042816",920.74175451724,3.5536715765582,0.311189398994211,11.4196421473352,3.33604736623268e-30,4.43198635482595e-26,1.63020460917059,"Gpr151","G protein-coupled receptor 151 [Source:MGI Symbol;Acc:MGI:2441887]"
"ENSMUSG00000049796",138.370555151192,3.42955129915094,0.426181920435612,8.04715342134998,8.47419244028478e-16,9.20347228154681e-13,1.81285158827253,"Crh","corticotropin releasing hormone [Source:MGI Symbol;Acc:MGI:88496]"
"ENSMUSG00000050359",7396.93368128123,3.26952349437278,0.429739637380687,7.60814970269185,2.78047675583987e-14,2.43268622083133e-11,1.65025188545205,"Sprr1a","small proline-rich protein 1A [Source:MGI Symbol;Acc:MGI:106660]"
"ENSMUSG00000024907",31253.6613591376,3.23689538438704,0.390510039202964,8.28889160184867,1.14308658806e-16,1.76356049489654e-13,1.47765648871016,"Gal","galanin and GMAP prepropeptide [Source:MGI Symbol;Acc:MGI:95637]"
"ENSMUSG00000016458",21.4746912408276,3.22741207469788,0.384956002242402,8.38384661077612,5.12255381387787e-17,7.59212868424796e-14,1.71914443680939,"Wt1","WT1 transcription factor [Source:MGI Symbol;Acc:MGI:98968]"
