Gene Set,entrez_gene,gene,symbol,description
NP,NA,ENSMUSG00000046334,Gm6195,predicted pseudogene 6195 [Source:MGI Symbol;Acc:MGI:3647661]
NP,212442,ENSMUSG00000025937,Lactb2,"lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]"
NP,17681,ENSMUSG00000025930,Msc,musculin [Source:MGI Symbol;Acc:MGI:1333884]
NP,277328,ENSMUSG00000032769,Trpa1,"transient receptor potential cation channel, subfamily A, member 1 [Source:MGI Symbol;Acc:MGI:3522699]"
NP,19989,ENSMUSG00000043716,Rpl7,ribosomal protein L7 [Source:MGI Symbol;Acc:MGI:98073]
NP,213539,ENSMUSG00000042215,Bag2,BCL2-associated athanogene 2 [Source:MGI Symbol;Acc:MGI:1891254]
NP,27993,ENSMUSG00000026127,Imp4,"IMP4, U3 small nucleolar ribonucleoprotein [Source:MGI Symbol;Acc:MGI:106572]"
NP,226971,ENSMUSG00000026123,Plekhb2,"pleckstrin homology domain containing, family B (evectins) member 2 [Source:MGI Symbol;Acc:MGI:2385825]"
NP,50785,ENSMUSG00000045216,Hs6st1,heparan sulfate 6-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1354958]
NP,320011,ENSMUSG00000037470,Uggt1,UDP-glucose glycoprotein glucosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2443162]
NP,20353,ENSMUSG00000026121,Sema4c,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C [Source:MGI Symbol;Acc:MGI:109252]"
NP,381337,ENSMUSG00000046337,Fam178b,"family with sequence similarity 178, member B [Source:MGI Symbol;Acc:MGI:3026913]"
NP,226977,ENSMUSG00000037351,Actr1b,"ARP1 actin-related protein 1B, centractin beta [Source:MGI Symbol;Acc:MGI:1917446]"
NP,269180,ENSMUSG00000026113,Inpp4a,"inositol polyphosphate-4-phosphatase, type I [Source:MGI Symbol;Acc:MGI:1931123]"
NP,67387,ENSMUSG00000026111,Unc50,unc-50 homolog [Source:MGI Symbol;Acc:MGI:1914637]
NP,18143,ENSMUSG00000026077,Npas2,neuronal PAS domain protein 2 [Source:MGI Symbol;Acc:MGI:109232]
NP,211798,ENSMUSG00000041945,Mfsd9,major facilitator superfamily domain containing 9 [Source:MGI Symbol;Acc:MGI:2443548]
NP,381339,ENSMUSG00000079588,Tmem182,transmembrane protein 182 [Source:MGI Symbol;Acc:MGI:1923725]
NP,73122,ENSMUSG00000070939,Tgfbrap1,"transforming growth factor, beta receptor associated protein 1 [Source:MGI Symbol;Acc:MGI:2447427]"
NP,98404,ENSMUSG00000010290,AI597479,expressed sequence AI597479 [Source:MGI Symbol;Acc:MGI:2138299]
NP,15528,ENSMUSG00000073676,Hspe1,heat shock protein 1 (chaperonin 10) [Source:MGI Symbol;Acc:MGI:104680]
NP,227120,ENSMUSG00000038349,Plcl1,phospholipase C-like 1 [Source:MGI Symbol;Acc:MGI:3036262]
NP,77951,ENSMUSG00000049439,Cyp20a1,"cytochrome P450, family 20, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1925201]"
NP,NA,ENSMUSG00000080800,Gm11582,predicted gene 11582 [Source:MGI Symbol;Acc:MGI:3652084]
NP,55949,ENSMUSG00000025967,Eef1b2,eukaryotic translation elongation factor 1 beta 2 [Source:MGI Symbol;Acc:MGI:1929520]
NP,14367,ENSMUSG00000045005,Fzd5,frizzled class receptor 5 [Source:MGI Symbol;Acc:MGI:108571]
NP,15926,ENSMUSG00000025950,Idh1,"isocitrate dehydrogenase 1 (NADP+), soluble [Source:MGI Symbol;Acc:MGI:96413]"
NP,108147,ENSMUSG00000026192,Atic,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:MGI Symbol;Acc:MGI:1351352]
NP,381270,ENSMUSG00000039372,Marchf4,membrane associated ring-CH-type finger 4 [Source:MGI Symbol;Acc:MGI:2683550]
NP,19981,ENSMUSG00000046330,Rpl37a,ribosomal protein L37a [Source:MGI Symbol;Acc:MGI:98068]
NP,69171,ENSMUSG00000033159,Cnppd1,cyclin Pas1/PHO80 domain containing 1 [Source:MGI Symbol;Acc:MGI:1916421]
NP,68818,ENSMUSG00000026197,Zfand2b,"zinc finger, AN1 type domain 2B [Source:MGI Symbol;Acc:MGI:1916068]"
NP,245860,ENSMUSG00000033124,Atg9a,autophagy related 9A [Source:MGI Symbol;Acc:MGI:2138446]
NP,19231,ENSMUSG00000026238,Ptma,prothymosin alpha [Source:MGI Symbol;Acc:MGI:97803]
NP,18582,ENSMUSG00000026239,Pde6d,"phosphodiesterase 6D, cGMP-specific, rod, delta [Source:MGI Symbol;Acc:MGI:1270843]"
NP,77040,ENSMUSG00000026289,Atg16l1,autophagy related 16-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924290]
NP,67444,ENSMUSG00000026309,Ilkap,integrin-linked kinase-associated serine/threonine phosphatase 2C [Source:MGI Symbol;Acc:MGI:1914694]
NP,55927,ENSMUSG00000067071,Hes6,hairy and enhancer of split 6 [Source:MGI Symbol;Acc:MGI:1859852]
NP,NA,ENSMUSG00000073617,NA,NA
NP,208777,ENSMUSG00000047793,Sned1,"sushi, nidogen and EGF-like domains 1 [Source:MGI Symbol;Acc:MGI:3045960]"
NP,69821,ENSMUSG00000026273,Mterf4,mitochondrial transcription termination factor 4 [Source:MGI Symbol;Acc:MGI:1918355]
NP,98314,ENSMUSG00000073609,D2hgdh,D-2-hydroxyglutarate dehydrogenase [Source:MGI Symbol;Acc:MGI:2138209]
NP,70750,ENSMUSG00000009905,Kdsr,3-ketodihydrosphingosine reductase [Source:MGI Symbol;Acc:MGI:1918000]
NP,20479,ENSMUSG00000009907,Vps4b,vacuolar protein sorting 4B [Source:MGI Symbol;Acc:MGI:1100499]
NP,20724,ENSMUSG00000067006,Serpinb5,"serine (or cysteine) peptidase inhibitor, clade B, member 5 [Source:MGI Symbol;Acc:MGI:109579]"
NP,74117,ENSMUSG00000026341,Actr3,ARP3 actin-related protein 3 [Source:MGI Symbol;Acc:MGI:1921367]
NP,74150,ENSMUSG00000026342,Slc35f5,"solute carrier family 35, member F5 [Source:MGI Symbol;Acc:MGI:1921400]"
NP,NA,ENSMUSG00000058603,Rpl28-ps1,"ribosomal protein L28, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3705349]"
NP,102640368,ENSMUSG00000087691,Cd55os,"CD55 molecule, opposite strand sequence [Source:MGI Symbol;Acc:MGI:3783116]"
NP,NA,ENSMUSG00000086825,Gm15675,predicted gene 15675 [Source:MGI Symbol;Acc:MGI:3783117]
NP,13136,ENSMUSG00000026399,Cd55,"CD55 molecule, decay accelerating factor for complement [Source:MGI Symbol;Acc:MGI:104850]"
NP,18640,ENSMUSG00000026409,Pfkfb2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:MGI Symbol;Acc:MGI:107815]"
NP,212980,ENSMUSG00000026435,Slc45a3,"solute carrier family 45, member 3 [Source:MGI Symbol;Acc:MGI:1922082]"
NP,71884,ENSMUSG00000026450,Chit1,chitinase 1 (chitotriosidase) [Source:MGI Symbol;Acc:MGI:1919134]
NP,68724,ENSMUSG00000026426,Arl8a,ADP-ribosylation factor-like 8A [Source:MGI Symbol;Acc:MGI:1915974]
NP,215690,ENSMUSG00000009418,Nav1,neuron navigator 1 [Source:MGI Symbol;Acc:MGI:2183683]
NP,67771,ENSMUSG00000008475,Arpc5,"actin related protein 2/3 complex, subunit 5 [Source:MGI Symbol;Acc:MGI:1915021]"
NP,17970,ENSMUSG00000026480,Ncf2,neutrophil cytosolic factor 2 [Source:MGI Symbol;Acc:MGI:97284]
NP,NA,ENSMUSG00000078193,Gm2000,predicted gene 2000 [Source:MGI Symbol;Acc:MGI:3780170]
NP,NA,ENSMUSG00000096493,NA,NA
NP,69953,ENSMUSG00000049881,2810025M15Rik,RIKEN cDNA 2810025M15 gene [Source:MGI Symbol;Acc:MGI:1917203]
NP,26374,ENSMUSG00000040782,Cop1,"COP1, E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:1347046]"
NP,NA,ENSMUSG00000073528,Gm10530,predicted gene 10530 [Source:MGI Symbol;Acc:MGI:3641765]
NP,226551,ENSMUSG00000040297,Suco,SUN domain containing ossification factor [Source:MGI Symbol;Acc:MGI:2138346]
NP,53330,ENSMUSG00000026696,Vamp4,vesicle-associated membrane protein 4 [Source:MGI Symbol;Acc:MGI:1858730]
NP,NA,ENSMUSG00000053664,NA,NA
NP,80914,ENSMUSG00000026558,Uck2,uridine-cytidine kinase 2 [Source:MGI Symbol;Acc:MGI:1931744]
NP,19298,ENSMUSG00000003464,Pex19,peroxisomal biogenesis factor 19 [Source:MGI Symbol;Acc:MGI:1334458]
NP,258716,ENSMUSG00000051528,Olfr424,olfactory receptor 424 [Source:MGI Symbol;Acc:MGI:3030258]
NP,24012,ENSMUSG00000026527,Rgs7,regulator of G protein signaling 7 [Source:MGI Symbol;Acc:MGI:1346089]
NP,69051,ENSMUSG00000026520,Pycr2,"pyrroline-5-carboxylate reductase family, member 2 [Source:MGI Symbol;Acc:MGI:1277956]"
NP,67247,ENSMUSG00000073481,Mtarc2,mitochondrial amidoxime reducing component 2 [Source:MGI Symbol;Acc:MGI:1914497]
NP,23827,ENSMUSG00000026617,Bpnt1,"3'(2'), 5'-bisphosphate nucleotidase 1 [Source:MGI Symbol;Acc:MGI:1338800]"
NP,66208,ENSMUSG00000037499,Nenf,neuron derived neurotrophic factor [Source:MGI Symbol;Acc:MGI:1913458]
NP,226861,ENSMUSG00000037375,Hhat,hedgehog acyltransferase [Source:MGI Symbol;Acc:MGI:2444681]
NP,215303,ENSMUSG00000016179,Camk1g,calcium/calmodulin-dependent protein kinase I gamma [Source:MGI Symbol;Acc:MGI:2388073]
NP,104362,ENSMUSG00000026650,Meig1,meiosis expressed gene 1 [Source:MGI Symbol;Acc:MGI:1202878]
NP,66540,ENSMUSG00000026655,Fam107b,"family with sequence similarity 107, member B [Source:MGI Symbol;Acc:MGI:1913790]"
